Nível,Código,Codes,parent_code,Designação
4,1007,16F1007,16F1007,"Castanheira de Pêra"
4,1008,16F1008,16F1008,"Figueiró dos Vinhos"
4,1009,16F1009,16F1009,"Leiria"
4,1010,16F1010,16F1010,"Marinha Grande"
4,1013,16F1013,16F1013,"Pedrógão Grande"
4,1015,16F1015,16F1015,"Pombal"
4,1016,16F1016,16F1016,"Porto de Mós"
4,0901,16G0901,16G0901,"Aguiar da Beira"
4,1802,16G1802,16G1802,"Carregal do Sal"
4,1803,16G1803,16G1803,"Castro Daire"
4,1806,16G1806,16G1806,"Mangualde"
4,1809,16G1809,16G1809,"Nelas"
4,1810,16G1810,16G1810,"Oliveira de Frades"
4,1811,16G1811,16G1811,"Penalva do Castelo"
4,1814,16G1814,16G1814,"Santa Comba Dão"
4,1816,16G1816,16G1816,"São Pedro do Sul"
4,1817,16G1817,16G1817,"Sátão"
4,1821,16G1821,16G1821,"Tondela"
4,1822,16G1822,16G1822,"Vila Nova de Paiva"
4,1823,16G1823,16G1823,"Viseu"
4,1824,16G1824,16G1824,"Vouzela"
4,0502,16H0502,16H0502,"Castelo Branco"
4,0505,16H0505,16H0505,"Idanha-a-Nova"
4,0506,16H0506,16H0506,"Oleiros"
4,0507,16H0507,16H0507,"Penamacor"
4,0508,16H0508,16H0508,"Proença-a-Nova"
4,0511,16H0511,16H0511,"Vila Velha de Ródão"
4,1401,16I1401,16I1401,"Abrantes"
4,1402,16I1402,16I1402,"Alcanena"
4,1408,16I1408,16I1408,"Constância"
4,1410,16I1410,16I1410,"Entroncamento"
4,1411,16I1411,16I1411,"Ferreira do Zêzere"
4,1413,16I1413,16I1413,"Mação"
4,1421,16I1421,16I1421,"Ourém"
4,1417,16I1417,16I1417,"Sardoal"
4,0509,16I0509,16I0509,"Sertã"
4,1418,16I1418,16I1418,"Tomar"
4,1419,16I1419,16I1419,"Torres Novas"
4,0510,16I0510,16I0510,"Vila de Rei"
4,1420,16I1420,16I1420,"Vila Nova da Barquinha"
4,0902,16J0902,16J0902,"Almeida"
4,0501,16J0501,16J0501,"Belmonte"
4,0903,16J0903,16J0903,"Celorico da Beira"
4,0503,16J0503,16J0503,"Covilhã"
4,0904,16J0904,16J0904,"Figueira de Castelo Rodrigo"
4,0905,16J0905,16J0905,"Fornos de Algodres"
4,0504,16J0504,16J0504,"Fundão"
4,0906,16J0906,16J0906,"Gouveia"
4,0907,16J0907,16J0907,"Guarda"
4,0908,16J0908,16J0908,"Manteigas"
4,0909,16J0909,16J0909,"Mêda"
4,0910,16J0910,16J0910,"Pinhel"
4,0911,16J0911,16J0911,"Sabugal"
4,0912,16J0912,16J0912,"Seia"
4,0913,16J0913,16J0913,"Trancoso"
4,1502,1701502,1701502,"Alcochete"
4,1503,1701503,1701503,"Almada"
4,1115,1701115,1701115,"Amadora"
4,1504,1701504,1701504,"Barreiro"
4,1105,1701105,1701105,"Cascais"
4,1106,1701106,1701106,"Lisboa"
4,1107,1701107,1701107,"Loures"
4,1109,1701109,1701109,"Mafra"
4,1506,1701506,1701506,"Moita"
4,1507,1701507,1701507,"Montijo"
4,1116,1701116,1701116,"Odivelas"
4,1110,1701110,1701110,"Oeiras"
4,1508,1701508,1701508,"Palmela"
4,1510,1701510,1701510,"Seixal"
4,1511,1701511,1701511,"Sesimbra"
4,1512,1701512,1701512,"Setúbal"
4,1111,1701111,1701111,"Sintra"
4,1114,1701114,1701114,"Vila Franca de Xira"
4,1501,1811501,1811501,"Alcácer do Sal"
4,1505,1811505,1811505,"Grândola"
4,0211,1810211,1810211,"Odemira"
4,1509,1811509,1811509,"Santiago do Cacém"
4,1513,1811513,1811513,"Sines"
4,0201,1840201,1840201,"Aljustrel"
