Nível,Código,Codes,parent_code,Designação
3,111,111,111,"Alto Minho"
3,112,112,112,"Cávado"
3,119,119,119,"Ave"
3,11A,11A,11A,"Área Metropolitana do Porto"
3,11B,11B,11B,"Alto Tâmega"
3,11C,11C,11C,"Tâmega e Sousa"
3,11D,11D,11D,"Douro"
3,11E,11E,11E,"Terras de Trás-os-Montes"
3,16B,16B,16B,"Oeste"
3,16D,16D,16D,"Região de Aveiro"
3,16E,16E,16E,"Região de Coimbra"
3,16F,16F,16F,"Região de Leiria"
3,16G,16G,16G,"Viseu Dão Lafões"
3,16H,16H,16H,"Beira Baixa"
3,16I,16I,16I,"Médio Tejo"
3,16J,16J,16J,"Beiras e Serra da Estrela"
3,170,170,170,"Área Metropolitana de Lisboa"
3,181,181,181,"Alentejo Litoral"
3,184,184,184,"Baixo Alentejo"
3,185,185,185,"Lezíria do Tejo"
3,186,186,186,"Alto Alentejo"
3,187,187,187,"Alentejo Central"
3,150,150,150,"Algarve"
3,200,200,200,"Região Autónoma dos Açores"
3,300,300,300,"Região Autónoma da Madeira"
