primary_key,Codes,livestock,year,quantity
175,111160104,Sheep,1989,73
176,111160104,Sheep,1999,16
177,111160104,Sheep,2009,38
178,111160104,Goats,1989,- -
179,111160104,Goats,1999,- -
180,111160104,Goats,2009,106
181,111160104,Equidae,1989,- -
182,111160104,Equidae,1999,- -
183,111160104,Equidae,2009,14
184,111160104,Poultry,1989,668
185,111160104,Poultry,1999,710
186,111160104,Poultry,2009,393
187,111160104,Rabbits,1989,27
188,111160104,Rabbits,1999,40
189,111160104,Rabbits,2009,144
190,111160105,Cattle,1989,281
191,111160105,Cattle,1999,234
192,111160105,Cattle,2009,123
193,111160105,Pigs,1989,11
194,111160105,Pigs,1999,- -
195,111160105,Pigs,2009,5
196,111160105,Sheep,1989,477
197,111160105,Sheep,1999,686
198,111160105,Sheep,2009,213
199,111160105,Goats,1989,269
200,111160105,Goats,1999,414
201,111160105,Goats,2009,39
202,111160105,Equidae,1989,22
203,111160105,Equidae,1999,59
204,111160105,Equidae,2009,63
205,111160105,Poultry,1989,1104
206,111160105,Poultry,1999,660
207,111160105,Poultry,2009,280
208,111160105,Rabbits,1989,57
209,111160105,Rabbits,1999,151
210,111160105,Rabbits,2009,43
211,111160106,Cattle,1989,872
212,111160106,Cattle,1999,745
213,111160106,Cattle,2009,697
214,111160106,Pigs,1989,86
215,111160106,Pigs,1999,49
216,111160106,Pigs,2009,12
217,111160106,Sheep,1989,913
218,111160106,Sheep,1999,487
219,111160106,Sheep,2009,278
220,111160106,Goats,1989,890
221,111160106,Goats,1999,601
222,111160106,Goats,2009,124
223,111160106,Equidae,1989,125
224,111160106,Equidae,1999,270
225,111160106,Equidae,2009,187
226,111160106,Poultry,1989,2218
227,111160106,Poultry,1999,1684
228,111160106,Poultry,2009,1202
229,111160106,Rabbits,1989,28
230,111160106,Rabbits,1999,103
231,111160106,Rabbits,2009,199
232,111160107,Cattle,1989,185
233,111160107,Cattle,1999,197
234,111160107,Cattle,2009,192
235,111160107,Pigs,1989,8
236,111160107,Pigs,1999,- -
237,111160107,Pigs,2009,7
238,111160107,Sheep,1989,165
239,111160107,Sheep,1999,214
240,111160107,Sheep,2009,158
241,111160107,Goats,1989,73
242,111160107,Goats,1999,54
243,111160107,Goats,2009,117
244,111160107,Equidae,1989,16
245,111160107,Equidae,1999,25
246,111160107,Equidae,2009,73
247,111160107,Poultry,1989,563
248,111160107,Poultry,1999,369
249,111160107,Poultry,2009,192
250,111160107,Rabbits,1989,- -
251,111160107,Rabbits,1999,13
252,111160107,Rabbits,2009,45
253,111160108,Cattle,1989,140
254,111160108,Cattle,1999,70
255,111160108,Cattle,2009,28
256,111160108,Pigs,1989,17
257,111160108,Pigs,1999,27
258,111160108,Pigs,2009,11
259,111160108,Sheep,1989,72
260,111160108,Sheep,1999,26
261,111160108,Sheep,2009,121
262,111160108,Goats,1989,37
263,111160108,Goats,1999,54
264,111160108,Goats,2009,41
265,111160108,Equidae,1989,- -
266,111160108,Equidae,1999,- -
267,111160108,Equidae,2009,1
268,111160108,Poultry,1989,1181
269,111160108,Poultry,1999,1069
270,111160108,Poultry,2009,618
271,111160108,Rabbits,1989,74
272,111160108,Rabbits,1999,176
273,111160108,Rabbits,2009,89
274,111160109,Cattle,1989,131
275,111160109,Cattle,1999,71
276,111160109,Cattle,2009,23
277,111160109,Pigs,1989,23
278,111160109,Pigs,1999,40
279,111160109,Pigs,2009,7
280,111160109,Sheep,1989,129
281,111160109,Sheep,1999,118
282,111160109,Sheep,2009,172
283,111160109,Goats,1989,10
284,111160109,Goats,1999,- -
285,111160109,Goats,2009,3
286,111160109,Equidae,1989,- -
287,111160109,Equidae,1999,- -
288,111160109,Equidae,2009,3
289,111160109,Poultry,1989,1216
290,111160109,Poultry,1999,1303
291,111160109,Poultry,2009,481
292,111160109,Rabbits,1989,60
293,111160109,Rabbits,1999,261
294,111160109,Rabbits,2009,23
295,111160110,Cattle,1989,143
296,111160110,Cattle,1999,68
297,111160110,Cattle,2009,36
298,111160110,Pigs,1989,34
299,111160110,Pigs,1999,5
300,111160110,Pigs,2009,1
301,111160110,Sheep,1989,78
302,111160110,Sheep,1999,123
303,111160110,Sheep,2009,136
304,111160110,Goats,1989,- -
305,111160110,Goats,1999,- -
306,111160110,Goats,2009,25
307,111160110,Equidae,1989,- -
308,111160110,Equidae,1999,- -
309,111160110,Equidae,2009,1
310,111160110,Poultry,1989,859
311,111160110,Poultry,1999,642
312,111160110,Poultry,2009,345
313,111160110,Rabbits,1989,54
314,111160110,Rabbits,1999,113
315,111160110,Rabbits,2009,98
316,111160111,Cattle,1989,58
317,111160111,Cattle,1999,13
318,111160111,Cattle,2009,28
319,111160111,Pigs,1989,- -
320,111160111,Pigs,1999,4
321,111160111,Pigs,2009,- -
322,111160111,Sheep,1989,511
323,111160111,Sheep,1999,227
324,111160111,Sheep,2009,55
325,111160111,Goats,1989,608
326,111160111,Goats,1999,393
327,111160111,Goats,2009,160
328,111160111,Equidae,1989,- -
329,111160111,Equidae,1999,- -
330,111160111,Equidae,2009,- -
331,111160111,Poultry,1989,334
332,111160111,Poultry,1999,291
333,111160111,Poultry,2009,108
334,111160111,Rabbits,1989,20
335,111160111,Rabbits,1999,57
336,111160111,Rabbits,2009,33
337,111160112,Cattle,1989,80
338,111160112,Cattle,1999,54
339,111160112,Cattle,2009,11
340,111160112,Pigs,1989,31
341,111160112,Pigs,1999,27
342,111160112,Pigs,2009,- -
343,111160112,Sheep,1989,142
344,111160112,Sheep,1999,183
345,111160112,Sheep,2009,213
346,111160112,Goats,1989,9
347,111160112,Goats,1999,31
348,111160112,Goats,2009,21
349,111160112,Equidae,1989,- -
350,111160112,Equidae,1999,- -
351,111160112,Equidae,2009,15
352,111160112,Poultry,1989,451
353,111160112,Poultry,1999,507
354,111160112,Poultry,2009,299
355,111160112,Rabbits,1989,24
356,111160112,Rabbits,1999,123
357,111160112,Rabbits,2009,141
358,111160113,Cattle,1989,1048
359,111160113,Cattle,1999,1199
360,111160113,Cattle,2009,1721
361,111160113,Pigs,1989,67
362,111160113,Pigs,1999,- -
363,111160113,Pigs,2009,14
364,111160113,Sheep,1989,31
365,111160113,Sheep,1999,49
366,111160113,Sheep,2009,60
367,111160113,Goats,1989,1239
368,111160113,Goats,1999,834
369,111160113,Goats,2009,16
370,111160113,Equidae,1989,28
371,111160113,Equidae,1999,120
372,111160113,Equidae,2009,161
373,111160113,Poultry,1989,1146
374,111160113,Poultry,1999,713
375,111160113,Poultry,2009,881
376,111160113,Rabbits,1989,12
377,111160113,Rabbits,1999,40
378,111160113,Rabbits,2009,161
379,111160114,Cattle,1989,61
380,111160114,Cattle,1999,28
381,111160114,Cattle,2009,15
382,111160114,Pigs,1989,7
383,111160114,Pigs,1999,4
384,111160114,Pigs,2009,2
385,111160114,Sheep,1989,10
386,111160114,Sheep,1999,76
387,111160114,Sheep,2009,194
388,111160114,Goats,1989,- -
389,111160114,Goats,1999,8
390,111160114,Goats,2009,14
391,111160114,Equidae,1989,- -
392,111160114,Equidae,1999,- -
393,111160114,Equidae,2009,65
394,111160114,Poultry,1989,462
395,111160114,Poultry,1999,401
396,111160114,Poultry,2009,218
397,111160114,Rabbits,1989,26
