Catalog Number;Collectors;Collector Number;Start Date;Start Date Precision;Pais;Provincia;Distrito ou Municipio;Locality Name;Latitude1;Longitude1;Collection;Determiner;Kingdom;phylum;class;order;family;genus;Full Name;Species Author;subspecies Author;variety Author
LISC047899;A.R.Torre;5677;07/07/1943;1;Mozambique;Zambezia;Alto Molócue;Alto de Molócuè, a cerca de 60 km de Alto Molócuè, estrada para Gilè.;-15,893759;37,824742;Herbário;F.A.Mendonça;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Rutaceae;Toddalia;Toddalia asiatica;(L.) Lam.;;
LISC049524;F.A.Mendonça;942;18/10/1942;1;Mozambique;Cabo Delgado;Montepuez;Macondes, a 67 km de Montepuez para Mueda, próximo de Nairoto.;-12,555943;38,995563;Herbário;;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Brackenridgea;Brackenridgea zanguebarica;Oliv.;;
LISC049525;F.A.Mendonça;904;17/10/1942;1;Mozambique;Cabo Delgado;Montepuez;Montepuez, planície próxima de Montepuez.;-13,1255555;38,9997234;Herbário;;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Brackenridgea;Brackenridgea zanguebarica;Oliv.;;
LISC049526;A.R.Torre;4640;20/10/1942;1;Mozambique;Zambezia;;Maganja da Costa, entre Mugêba e Mocubela.;-16,741214;37,49537;Herbário;;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Brackenridgea;Brackenridgea zanguebarica;Oliv.;;
LISC049527;A.R.Torre;4640;20/10/1942;1;Mozambique;Zambezia;;Maganja da Costa, entre Mugêba e Mocubela.;-16,741214;37,49537;Herbário;;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Brackenridgea;Brackenridgea zanguebarica;Oliv.;;
LISC049528;A.R.Torre;3472;23/09/1941;1;Mozambique;Zambezia;;Entre Mocuba e Nhamarroi.;-16,398292;36,924137;Herbário;;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Brackenridgea;Brackenridgea zanguebarica;Oliv.;;
LISC049529;A.R.Torre;3472;23/09/1941;1;Mozambique;Zambezia;;Entre Mocuba e Nhamarroi.;-16,398292;36,924137;Herbário;;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Brackenridgea;Brackenridgea zanguebarica;Oliv.;;
LISC049530;A.R.Torre;3490;25/09/1941;1;Mozambique;Zambezia;Namarroi;Nhamarroi, entre Nhamarroi e Regone.;-15,849495;36,824532;Herbário;;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Brackenridgea;Brackenridgea zanguebarica;Oliv.;;
LISC049531;A.R.Torre;3490;25/09/1941;1;Mozambique;Zambezia;Namarroi;Nhamarroi, entre Nhamarroi e Regone.;-15,849495;36,824532;Herbário;;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Brackenridgea;Brackenridgea zanguebarica;Oliv.;;
LISC049532;J.G.Garcia;128;09/02/1948;1;Mozambique;Manica;Manica;Chimoio, entre Bandula e Chibata.;-19,053735;33,204508;Herbário;;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Brackenridgea;Brackenridgea zanguebarica;Oliv.;;
